date,sessions,market_a,market_b
2025-01-06,227.15,220.0,179.74
2025-01-07,235.48,220.29,179.79
2025-01-08,233.56,220.02,180.52
2025-01-09,228.44,219.17,180.7
2025-01-10,218.68,218.73,180.96
2025-01-11,220.1,217.78,181.33
2025-01-12,215.88,217.84,182.38
2025-01-13,223.12,219.13,183.14
2025-01-14,233.37,218.65,183.71
2025-01-15,233.74,218.06,183.71
2025-01-16,228.49,218.53,183.22
2025-01-17,219.98,218.87,184.12
2025-01-18,220.51,218.97,185.03
2025-01-19,220.37,218.08,185.27
2025-01-20,228.59,218.05,185.91
2025-01-21,238.11,218.72,186.69
2025-01-22,233.59,217.43,187.49
2025-01-23,227.88,216.99,188.34
2025-01-24,220.43,215.16,188.36
2025-01-25,219.58,213.92,189.55
2025-01-26,219.01,212.16,189.08
2025-01-27,221.42,211.93,189.86
2025-01-28,228.65,210.71,190.41
2025-01-29,227.13,210.97,191.18
2025-01-30,230.19,211.13,192.55
2025-01-31,225.18,210.95,193.67
2025-02-01,220.11,208.53,193.2
2025-02-02,216.69,208.01,192.4
2025-02-03,224.1,207.97,193.08
2025-02-04,227.08,208.07,192.66
2025-02-05,226.63,206.61,192.83
2025-02-06,223.46,206.15,193.5
2025-02-07,214.86,205.21,192.67
2025-02-08,210.26,204.43,191.55
2025-02-09,217.84,205.45,191.83
2025-02-10,219.59,204.67,191.98
2025-02-11,225.26,204.64,191.94
2025-02-12,229.02,205.49,192.05
2025-02-13,218.37,204.93,191.62
2025-02-14,215.13,204.82,190.78
2025-02-15,214.34,204.93,190.74
2025-02-16,215.86,204.99,190.2
2025-02-17,217.43,203.82,189.24
2025-02-18,225.81,203.89,189.57
2025-02-19,225.83,205.19,189.54
2025-02-20,218.08,203.71,189.77
2025-02-21,213.91,204.53,189.16
2025-02-22,214.91,204.65,188.73
2025-02-23,214.53,204.03,188.09
2025-02-24,214.42,205.95,187.5
2025-02-25,227.76,206.68,187.55
2025-02-26,226.02,205.53,187.0
2025-02-27,224.73,205.6,187.11
2025-02-28,215.63,206.16,187.21
2025-03-01,212.92,205.98,188.31
2025-03-02,212.07,206.63,187.34
2025-03-03,226.03,206.57,187.73
2025-03-04,224.31,207.21,187.52
2025-03-05,230.77,208.59,187.35
2025-03-06,221.06,207.94,186.3
2025-03-07,217.84,208.14,185.84
2025-03-08,209.79,207.69,186.08
2025-03-09,214.15,207.81,185.83
2025-03-10,221.39,206.67,185.66
2025-03-11,219.94,206.12,185.25
2025-03-12,226.96,205.93,185.71
2025-03-13,222.38,206.79,185.44
2025-03-14,213.86,207.89,183.87
2025-03-15,210.81,206.62,183.19
2025-03-16,210.95,205.86,181.73
2025-03-17,216.21,206.48,179.5
2025-03-18,218.1,204.57,178.89
2025-03-19,218.42,204.12,179.39
2025-03-20,216.31,204.03,179.12
2025-03-21,209.74,205.24,178.1
2025-03-22,205.94,205.9,177.22
2025-03-23,210.13,205.58,177.58
2025-03-24,216.81,205.23,177.34
2025-03-25,215.18,204.99,177.04
2025-03-26,221.04,206.45,176.67
2025-03-27,215.75,206.04,176.35
2025-03-28,209.58,205.75,176.49
2025-03-29,211.14,206.09,176.48
2025-03-30,208.7,205.97,176.26
2025-03-31,217.9,205.78,175.28
2025-04-01,216.13,204.71,175.23
2025-04-02,219.89,204.7,174.46
2025-04-03,214.93,204.28,174.76
2025-04-04,208.75,205.4,173.64
2025-04-05,209.12,206.02,173.2
2025-04-06,208.26,206.0,172.84
2025-04-07,214.83,206.64,171.69
2025-04-08,217.94,206.31,172.37
2025-04-09,217.42,207.32,172.89
2025-04-10,216.38,207.32,172.27
2025-04-11,212.0,207.88,172.38
2025-04-12,210.1,206.64,172.26
2025-04-13,206.07,206.97,170.36
2025-04-14,211.72,205.35,170.17
2025-04-15,210.69,203.4,169.8
2025-04-16,217.46,203.11,169.52
2025-04-17,208.89,202.24,168.56
