y,X
118.1887,99.7953
120.2333,100.6632
118.6278,98.8837
119.6097,100.4489
121.3915,101.5617
119.9492,99.9878
121.22,100.1038
121.2069,100.1883
120.13,100.5996
122.4299,100.7068
119.9165,100.371
118.5008,98.3698
123.0205,101.7421
116.8239,98.661
122.0471,102.558
117.8982,98.5842
119.3476,99.2726
120.146,100.2828
122.3665,101.4145
116.2971,98.2884
118.948,101.0007
118.3248,99.5764
124.7099,103.6302
115.556,95.7116
123.6644,103.2825
116.4647,97.1699
123.5273,102.8497
116.9443,97.959
121.7883,101.8378
119.6107,99.6898
118.2547,99.5657
117.6709,99.5597
119.2659,98.026
120.888,99.9158
119.5159,99.215
122.0751,101.2667
118.4196,97.5941
122.3016,102.2852
115.9545,96.8798
124.268,103.141
112.9524,94.8137
126.6824,104.4682
113.832,94.4367
124.1901,104.0363
114.2594,95.0603
125.2867,104.7321
115.0707,96.1191
123.2695,102.7389
118.1199,97.8663
124.5596,103.2701
115.795,97.1268
124.1172,102.8326
116.6223,97.4388
122.294,103.3099
118.445,98.3483
119.117,100.5672
117.161,97.9404
123.2969,101.8759
120.1041,99.0701
119.964,100.1764
120.4284,100.7038
119.1111,99.3565
118.9102,100.6291
122.1935,100.104
120.1343,100.7594
119.473,98.3607
121.6317,101.4519
116.8943,96.3891
125.0376,102.5974
116.4793,96.4441
129.4659,101.8677
123.593,99.3937
127.2506,101.2693
123.5884,99.5476
125.4766,101.4087
122.4043,98.2291
125.2466,100.9716
122.0065,98.2044
126.5029,100.8898
123.7487,99.4221
125.1183,100.5714
122.6209,98.328
126.8593,102.3215
124.7682,98.3442
129.2109,102.5009
125.7589,99.574
123.2886,99.3858
126.0493,101.4033
122.9308,98.6054
127.3116,102.1675
122.1506,98.2374
128.7784,103.7558
121.6446,96.5049
131.4461,105.1493
120.1955,95.3952
131.8384,104.9395
118.7861,95.6725
127.362,103.1462
123.6007,97.7534
127.8618,102.1746
