date,volkswagen,bmw,allianz
2011-01-02,99.143,45.039,60.007
2011-01-09,100.909,44.758,63.033
2011-01-16,96.085,42.298,64.579
2011-01-23,96.559,43.361,66.296
2011-01-30,94.965,43.171,69.963
2011-02-06,99.832,47.947,70.359
2011-02-13,97.679,45.988,71.383
2011-02-20,94.104,44.576,67.717
2011-02-27,91.434,43.877,69.137
2011-03-06,91.089,42.753,65.946
2011-03-13,87.773,41.994,62.042
2011-03-20,90.701,43.634,65.252
2011-03-27,93.242,46.489,66.527
2011-04-03,91.692,44.454,68.476
2011-04-10,90.012,44.135,68.245
2011-04-17,95.396,46.322,67.518
2011-04-24,103.708,48.35,70.227
2011-05-01,103.105,47.704,67.287
2011-05-08,103.165,46.975,67.789
2011-05-15,99.919,47.28,66.367
2011-05-22,100.709,47.062,65.891
2011-05-29,101.674,46.745,64.193
2011-06-05,103.472,48.334,63.696
2011-06-12,104.262,49.761,64.676
2011-06-19,107.858,52.048,63.42
2011-06-26,112.157,52.544,67.258
2011-07-03,116.894,53.118,65.912
2011-07-10,120.14,56.343,61.708
2011-07-17,119.35,55.498,64.393
2011-07-24,112.025,54.133,62.861
2011-07-31,95.138,46.892,54.604
2011-08-07,97.551,46.008,52.816
2011-08-14,84.225,40.55,47.494
2011-08-21,87.462,41.907,45.665
2011-08-28,89.831,42.038,46.942
2011-09-04,84.015,40.077,42.413
2011-09-11,91.498,44.333,46.182
2011-09-18,81.558,40.457,40.743
2011-09-25,81.751,38.739,48.916
2011-10-02,83.164,39.456,52.713
2011-10-09,89.962,43.76,53.845
2011-10-16,90.138,44.341,54.232
2011-10-23,102.112,47.923,57.373
2011-10-30,101.805,44.861,52.616
2011-11-06,103.033,45.535,52.637
2011-11-13,96.586,41.519,49.738
2011-11-20,88.603,39.015,45.416
2011-11-27,99.656,43.116,54.342
2011-12-04,96.937,41.713,54.805
2011-12-11,90.752,38.759,50.235
2011-12-18,92.726,40.705,52.444
2011-12-25,90.927,40.131,51.022
2012-01-01,96.98,43.07,51.001
2012-01-08,100.314,45.318,53.88
2012-01-15,107.332,49.303,57.952
2012-01-22,108.472,50.086,59.071
2012-01-29,112.201,54.258,61.107
2012-02-05,111.587,54.172,60.044
2012-02-12,113.517,55.808,61.894
2012-02-19,111.06,54.521,62.937
2012-02-26,114.482,54.746,62.916
2012-03-04,113.166,54.661,61.162
2012-03-11,113.868,56.615,64.89
2012-03-18,108.385,52.645,62.943
2012-03-25,106.06,52.28,61.763
2012-04-01,103.253,51.776,59.837
2012-04-08,102.858,52.335,56.523
2012-04-15,99.217,54.149,58.443
2012-04-22,114.517,55.924,58.663
2012-04-29,115.868,53.49,57.966
2012-05-06,114.472,52.412,55.343
2012-05-13,106.592,47.535,54.942
2012-05-20,109.429,49.711,55.292
2012-05-27,105.871,47.158,51.083
2012-06-03,105.871,47.238,52.848
2012-06-10,105.196,44.941,54.497
2012-06-17,104.16,45.351,55.263
2012-06-24,107.042,45.72,57.715
2012-07-01,112.896,45.31,56.817
2012-07-08,119.246,46.395,57.678
2012-07-15,118.48,46.804,58.262
2012-07-22,112.536,47.503,58.13
2012-07-29,118.3,46.676,60.604
2012-08-05,121.227,48.105,63.142
2012-08-12,121.497,49.358,63.908
2012-08-19,117.534,48.226,63.733
2012-08-26,116.634,46.306,63.668
2012-09-02,115.823,46.603,67.366
2012-09-09,124.424,49.792,70.416
2012-09-16,123.163,48.017,69.292
2012-09-23,117.264,45.704,67.549
2012-09-30,121.587,48.981,67.811
2012-10-07,119.831,48.507,67.14
2012-10-14,124.965,49.8,69.701
2012-10-21,130.143,48.965,68.519
2012-10-28,138.339,52.201,69.796
2012-11-04,130.143,51.583,68.14
2012-11-11,126.046,49.784,67.41
2012-11-18,135.863,52.827,71.583
2012-11-25,140.861,54.763,72.918
2012-12-02,141.312,55.446,74.998
2012-12-09,144.104,57.606,75.691
2012-12-16,146.58,58.385,76.858
2012-12-23,146.58,58.57,76.457
2012-12-30,150.903,60.874,78.937
2013-01-06,148.246,58.802,77.04
2013-01-13,149.958,58.891,75.764
2013-01-20,155.587,60.915,76.748
2013-01-27,156.713,59.814,77.004
2013-02-03,152.389,59.027,74.815
2013-02-10,150.723,57.542,74.633
2013-02-17,141.221,55.245,76.019
2013-02-24,139.285,55.574,75.909
2013-03-03,144.104,58.345,81.855
2013-03-10,136.493,56.216,81.892
2013-03-17,134.106,55.887,79.521
2013-03-24,132.17,54.056,77.296
2013-03-31,131.044,53.253,76.821
2013-04-07,126.451,54.128,78.281
2013-04-14,122.713,52.073,75.618
2013-04-21,128.072,55.108,80.98
2013-04-28,139.545,57.919,84.773
2013-05-05,138.761,57.694,85.248
2013-05-12,148.033,57.766,90.633
